tweet,Created-At,From-User,Retweet-Count,Account,Id
"Heidi ?? ??️‍?? ✊???????? on Twitter: &quot;More are killed through your Gods design. Stop pretending outrage over procedures that have nothing to do with you, not affect you whatsoever. Faux outrage.… https://t.co/AvT0BLRoeq&quot;",2018-10-23 15:49:07,Heidi ?? ??️‍?? ✊????????,.0,Scott,1054822045295480000.0
"VoteVets on Twitter: &quot;Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdict of TRUE.  Sorry #RedTideRick – Now all of Florida knows the truth! #FLSen&#10;https://t.co/5XwPzuhoiI&quot;",2018-10-23 14:33:31,VoteVets,311.0,Scott,1054803019550860000.0
"#ThePersistence on Twitter: &quot;FL, vote for @RonDeSantisFL &amp; @ScottforFlorida &#10;&#10;MN, vote for @KarinHousley &amp; @NewbergerJim &#10;&#10;OH, vote for @MikeDeWine &amp; @JimRenacci &#10;&#10;TN, vote for @VoteMarsha &amp; @BillLeeTN &#10;&#10;TX, vote for @tedcruz &amp; @GregAbbott_TX&quot;",2018-10-22 00:27:03,#ThePersistence,650.0,Scott,1054227609721200000.0
"Kayleigh McEnany on Twitter: &quot;Florida Governor Rick Scott has a proven track record of success:&#10;&#10;-Nearly 1.5 million new jobs created &#10;-5,2000 burdensome regulations slashed &#10;-$10 billion in tax cuts &#10;&#10;Vote @ScottforFlorida &amp; unseat Senator Bill Nelson who routinely betrays Florida voters!&quot;",2018-10-22 14:57:44,Kayleigh McEnany,197.0,Scott,1054446724834640000.0
C. Hix on Twitter: &quot;Why don&#39;t you sale that luxurious bus of yours and give some of that money to the poor? Devil. I&#39;ll see you in hell. You&#39;ll never make it to heaven… https://t.co/Y7bL9zlIZd&quot;,2018-10-23 16:06:55,C. Hix,.0,Scott,1054826523155460000.0
Gena Altheide on Twitter: &quot;Ur right it shouldnt and if we can deregulate and get competition back in place we can have affordable healthcare again.… https://t.co/dl9VsC5syZ&quot;,2018-10-23 16:02:46,Gena Altheide,.0,Scott,1054825477221830000.0
Brad Turek on Twitter: &quot;Remember #VoteBlue we must have clean water and accept science and climate change as reality.  #VoteNelson #VoteGillum  @GOP will not do what is best for Floridians!! Stay educated. Keep the FRAUD OUT.… https://t.co/uYXOpwKodg&quot;,2018-10-23 16:02:33,Brad Turek,.0,Scott,1054825424587580000.0
"Bonita K Ronay on Twitter: &quot;@ScottforFlorida Every time I see your despicable ads, I want to slap you.  You are corrupt.  Bill Nelson called it &amp; we, voters suggested he go after you.  You are an unindicted criminal in politics and it&#39;s time Floridians stopped your corruption dead in its tracks.&quot;",2018-10-23 15:58:07,Bonita K Ronay,.0,Scott,1054824310098010000.0
"Terry Campagna on Twitter: &quot;All ready voted for Scott.  So are my friends &amp; family.  Scott cares about Floridians unlike Nelson,  who has never been around for Irma, &amp; now has gone out to space for the pan handle.  Vote Red keep Florida Great… https://t.co/y9n9AZ4kGq&quot;",2018-10-23 15:56:49,Terry Campagna,1.0,Scott,1054823981734350000.0
End Misogyny on Twitter: &quot;Did you tell them how you are a fraud?… &quot;,2018-10-23 15:53:02,Joni Skibo/LaCriox,2.0,Scott,1054823029056910000.0
??Blue House: 100+ Women &amp; POC! on Twitter: &quot;Fined $1.7 billion for Medicare fraud… &quot;,2018-10-23 15:52:41,Joni Skibo/LaCriox,2.0,Scott,1054822939160380000.0
Ann Sutton on Twitter: &quot;I am not for Scott. Here is info for Florida. I will be voting. Nothing will stop me even though we lost everything.… https://t.co/h3uRcbC5TT&quot;,2018-10-22 00:23:09,Ann Sutton,.0,Scott,1054226627738160000.0
Rick Scott on Twitter: &quot;Good luck @RonDeSantisFL!  I know you will be a great governor and continue our legacy of growing jobs and cutting taxes!&quot;,2018-10-22 00:20:19,Sheron Smith,992.0,Scott,1054225916518430000.0
Victorious Annie ???????? on Twitter: &quot;If you love the &quot;Great State of #Florida VOTE #RonDeSantis for Governor &amp; #RickScott @ScottforFlorida Senator!&#10;&#10;#AndrewGillum is a Socialist He&#39;s NO GOOD for Florida #VoteRed #FLGovDebate&#10;#VoteRedToSaveAmerica&#10;#JobsNotMobs&#10;#FloridaDebate #MAGA&#10;STOP the #CaravanaMigrante… https://t.co/xaLXsw5iRs&quot;,2018-10-22 00:20:06,Victorious Annie ????????,36.0,Scott,1054225861862420000.0
Joe The Intern on Twitter: &quot;Did he actually say any of this??? got proof?… https://t.co/Zm1ahmTMCS&quot;,2018-10-22 00:08:28,Joe The Intern,.0,Scott,1054222933269320000.0
Joe The Intern on Twitter: &quot;Someone should&#39;ve made it their lifes mission to kill that fat bastard as soon as he said that back in 1979.… https://t.co/iyWzyiqgxB&quot;,2018-10-22 00:06:52,Joe The Intern,.0,Scott,1054222530435840000.0
"Robert McLaws on Twitter: &quot;Wow, ⁦@ScottforFlorida⁩, it seems ⁦@AndrewGillum⁩ doesn’t think you believe in science.… &quot;",2018-10-22 00:02:56,Robert McLaws,.0,Scott,1054221541024690000.0
TeHenderson on Twitter: &quot;Wait til the illegals  arrive.  Are they going to stop this caravan or what !!!!?im very concerned.… https://t.co/UotbYWEpwU&quot;,2018-10-22 00:02:20,TeHenderson,.0,Scott,1054221389278920000.0
donna januario on Twitter: &quot;Andrew Gillum had the best debate performance I have ever seen tonight. Do the right thing Florida!!!!??… https://t.co/cPazlBJLjK&quot;,2018-10-21 23:58:27,donna januario,.0,Scott,1054220411859280000.0
Nationalist Matt⭐️⭐️⭐️ on Twitter: &quot;@AndrewGillum was race-baiting in that debate. I’ll be early voting for @RonDeSantisFL and @ScottforFlorida on Tuesday.… https://t.co/8iSSNR7PlQ&quot;,2018-10-21 23:53:10,Matt 1/1024 Deplorable⭐️⭐️⭐️,.0,Scott,1054219082424350000.0
ALEX on Twitter: &quot;#Florida three important things:&#10;1. #BringItHome and vote @AndrewGillum &#10;2. VOTE #YesOn13 &#10;3. Get @FLGovScott @ScottforFlorida OUT!… https://t.co/fvM7vZ9PTe&quot;,2018-10-21 23:47:18,ALEX,1.0,Scott,1054217604582330000.0
"Thomas Clark on Twitter: &quot;Yep, you want to fight the deep ockets if the federal government lawyers, the CMS, then the governmentseek the IRS, then the regulation lawsuits all just to punish each company. You best go find out how the feds work.… https://t.co/rW8u99CL3P&quot;",2018-10-21 23:40:32,Thomas Clark,.0,Scott,1054215905830470000.0
"Rocket44 ???? on Twitter: &quot;I&#39;m early voting tomorrow @RonDeSantisFL @ScottforFlorida Repub the whole way. After the way Dems want to #MobRule &amp; the whole circus w Kavanaugh, they can never have power #KeepFloridaRed #DeSantisForGovernor #VoteRedToSaveAmerica&quot;",2018-10-21 23:36:13,Rocket44 ????,1.0,Scott,1054214818029290000.0
"Johnny on Twitter: &quot;Okay, thanks! Yeah I just wanted to know. I’m voting in person, but I was just worried because I see the chart, &amp; 130k more Democrats asked for them. Just wanted to know if that’s a bad thing ??… https://t.co/WZXCZs5u9t&quot;",2018-10-21 23:35:07,Johnny,.0,Scott,1054214539716240000.0
"Kevin Angell on Twitter: &quot;I’d be willing to hear from @RonDeSantisFL or @AndrewGillum on this. I’m a Republican but disappointed no weigh in from @ScottforFlorida or @AGPamBondi. I voted for @BridgetAZiegler , anything?&quot;",2018-10-21 23:33:38,Kevin Angell,.0,Scott,1054214166582560000.0
"Bruce T. Woodward ⭐⭐⭐???????? on Twitter: &quot;Seriously, at what point do &quot;migrants&quot; carrying another country&#39;s flag, in a mob in the thousands, become an invasion? I&#39;m confused. &#10;&#10;??&#10;&#10;@RealJamesWoods @realDonaldTrump @POTUS @VP @USArmy @usairforce @USNavy @USMC @marcorubio @ScottforFlorida @RonDeSantisFL&quot;",2018-10-21 23:27:00,Bruce T. Woodward ⭐⭐⭐????????,1.0,Scott,1054212497102790000.0
"TOᑭ ᖇOᑭE TᖇAViS on Twitter: &quot;Rick Scott said he is too busy with Hurricane Michael recovery to be on the campaign trail, but yet here he is with the leader of the Proud Boys in South Florida having lunch...&#10;&#10;A) How is lunch with the Proud Boys helping in recovery?&#10;&#10;B) Why is Rick Scott with the Proud Boys?… https://t.co/QyIOAPfzoO&quot;",2018-10-21 23:26:33,Sheila Kremer,.0,Scott,1054212383999230000.0
G-Man on Twitter: &quot;Yes you and Ron want to bring all the low paying jobs to Florida! Floridians want jobs that actually pay a living wage.....but you already lined your pockets as the Governor of Florida #SwampCreature… https://t.co/XXFZSTa2ZR&quot;,2018-10-21 23:10:54,G-Man,.0,Scott,1054208444650130000.0
Kevin Angell on Twitter: &quot;I am not aware that @AGPamBondi @sarasotaschools @ScottforFlorida  put out any training.  I know our kids haven’t heard anything. One quarter of the school year has passed.  They just rolled it out and said good luck I guess.… https://t.co/OflWPDvqOZ&quot;,2018-10-21 23:08:48,Kevin Angell,.0,Scott,1054207916612510000.0
Judith Sanders on Twitter: &quot;About 25% of the Armed Forces are POC. I doubt he knows that.… https://t.co/zoS0pco4xH&quot;,2018-10-21 23:01:18,Judith Sanders,.0,Scott,1054206029616050000.0
"wladimir on Twitter: &quot;Florida is Trump Country, we love Ron DeSantis and @ScottforFlorida &#10;#FLGovDebate&#10;We Floridians, will Vote Rep up and down the ticket.&#10;Big surprise coming.........… https://t.co/XlPQYHZbks&quot;",2018-10-21 22:59:26,wladimir,2.0,Scott,1054205559065460000.0
"Beth ?? on Twitter: &quot;And of course, @ScottforFlorida, would NOT extend voting periods due to Hurricane Michael except in very narrow circumstances!!! But Georgia did!!! Scott is just afraid #Dems will vote so show him it takes more than a hurricane to keep us down!!!… https://t.co/YTCBMGwyU9&quot;",2018-10-21 22:54:16,Beth ??,.0,Scott,1054204260307650000.0
kat ?? #Trump2020Landslide on Twitter: &quot;There’s one in west palm and Delray on Congress Ave I voted sealed it and handed in. You just gotta show your drivers license… https://t.co/hjaawryOZr&quot;,2018-10-21 22:53:50,kat ?? #Trump2020Landslide,.0,Scott,1054204153348740000.0
kat ?? #Trump2020Landslide on Twitter: &quot;No at all  if you’re not gonna be in Florida on Election Day you request one from supervisor of election… https://t.co/TzPs3HmcZf&quot;,2018-10-21 22:51:49,kat ?? #Trump2020Landslide,.0,Scott,1054203644281790000.0
"Public Nuisance on Twitter: &quot;Rick Scott ignores and opposes the majority will of voters, some 58 percent in 2014, more than 72 percent in 2016. And wants, expects those voters to support him for a higher office. Scott who opposes career politics seeks 12th year in government office.… https://t.co/wZh27cGKgO&quot;",2018-10-21 22:50:55,Public Nuisance,.0,Scott,1054203418909340000.0
Johnny on Twitter: &quot;How do absentee ballots work? Do you have to request them? I see that more Democrats asked for them in Florida. Is that a bad thing?… https://t.co/05xH6MZgZA&quot;,2018-10-21 22:48:02,Johnny,.0,Scott,1054202691130460000.0
"Lori Brolin-Zizza on Twitter: &quot;I&#39;m Pretty clear Gillum wants to raise taxes, he wants to remove armed security from schools, and he is a failing mayor if you need another reason to not vote for him. His own chief of staff has pointed out that murders have been at a record high under him in Tallahassee. ??‍♀️… https://t.co/6Utdy6N1HF&quot;",2018-10-21 22:46:55,Lori Brolin-Zizza,.0,Scott,1054202411521400000.0
Kummsss on Twitter: &quot;You listed two that I find hard to even attribute to DeSantis and you failed to answer my question… https://t.co/CEF9ceHZQ1&quot;,2018-10-21 22:37:02,Kummsss,.0,Scott,1054199922407370000.0
"Jortan on Twitter: &quot;There is not too much time left until Nov 6, mid-terms and everyone has seen how the mob “socialist left” has been behaving. Ask yourself this question. Do you want to back track to no jobs, higher taxes and no Ice? That’s why I’m voting for @RonDeSantisFL  @ScottforFlorida… https://t.co/vGlNmfmtVr&quot;",2018-10-21 22:36:28,Jortan,.0,Scott,1054199781411730000.0
Nationalist Kevin on Twitter: &quot;#Florida FL-6 Dream Team &#10;@RonDeSantisFL &#10;@ScottforFlorida &#10;@michaelgwaltz &#10;@FloridaGOP &#10;#VoteRedToSaveAmerica &#10;#Midterms2018… https://t.co/vC9jYADGZo&quot;,2018-10-21 22:30:28,Nationalist Kevin,.0,Scott,1054198270711470000.0
Paul Magdalin on Twitter: &quot;Is that what Mitch McConnell ordered for dinner?… https://t.co/YAodIffKKJ&quot;,2018-10-21 22:28:24,Paul Magdalin,.0,Scott,1054197749267160000.0
Gamers4Scott on Twitter: &quot;Wow amazing! @RonDeSantisFL did an amazing job at tonight’s #FLGovDebate he earned every gamers vote with his performance. I know gaming legend @ScottforFlorida was proud! #RonDeSantis will make an amazing Governor for gamer rights make sure to vote this November! #LeadRight… https://t.co/H6xzTd36X4&quot;,2018-10-21 22:27:43,Gamers4Scott,9.0,Scott,1054197580421320000.0
SStone on Twitter: &quot;He bombed. Florida already has low taxes to match their low rating in education and access to healthcare. Start paying teachers more and clean up the waters Red Tide Rick.… https://t.co/cQr46cCtIt&quot;,2018-10-21 22:26:34,SStone,.0,Scott,1054197288267080000.0
Clearwater6365 on Twitter: &quot;@RonDeSantisFL really needs your help in FL! No way can you let this election be won by the Democrats. @FLGovScott @ScottforFlorida was the best Governor ever. Are you kidding me? What is wrong in FL. Get on it @realDonaldTrump Something is wrong!&quot;,2018-10-21 22:25:57,Clearwater6365,.0,Scott,1054197133463710000.0
"SOUTHERN NATIONALIST TROLL on Twitter: &quot;Florida,you are part of the south,1 of the sane parts of the country,don’t be fooled by this Soros stooge,gotta get that RED VOTE OUT!!!!!… https://t.co/EaXgX1sO3C&quot;",2018-10-21 22:23:19,SOUTHERN NATIONALIST TROLL,.0,Scott,1054196470348440000.0
"Buttercup on Twitter: &quot;First of all, taxes are a civic duty... they pay for many things we nowadays take for granted (military, highways, education, first responders etc.) Secondly, it’s funny you would oppose as you have enriched yourself from our tax dollars. You should be ashamed??… https://t.co/DQiBlJXTEv&quot;",2018-10-21 22:20:43,Buttercup,.0,Scott,1054195818167750000.0
Fred on Twitter: &quot;None better than @realDonaldTrump&#10;&#10;@RonDeSantisFL for Governor &#10;@ScottforFlorida  for Senator&#10;#VoteRedToSaveAmerica &#10;#FLGovDebate &#10;#MAGA &#10;#AmericaFirst &#10;#VoteRedMidterms2018… https://t.co/4AIDMOnt0b&quot;,2018-10-21 22:17:09,Fred,.0,Scott,1054194919332560000.0
Lori Brolin-Zizza on Twitter: &quot;Did you watch the debate? More than enough reasons to not vote democrat period!… https://t.co/QRUoi00seg&quot;,2018-10-21 22:14:51,Lori Brolin-Zizza,.0,Scott,1054194340099190000.0
Dani O on Twitter: &quot;Add Medicare and Tricare to the fraud list. Scott defrauded $$ from military’s healthcare. Doesn’t get lower than that.… https://t.co/9fRVpRge1f&quot;,2018-10-21 22:13:28,Dani O,2.0,Scott,1054193991103730000.0
"Fred on Twitter: &quot;Nope, no way, no how&#10;We lost everything in Cuba. Not going to happen here, again.&#10;#VoteRedToSaveAmerica &#10;@RonDeSantisFL for Governor &#10;@ScottforFlorida  for Senator… https://t.co/DxozLkEw6w&quot;",2018-10-21 22:12:44,Fred,.0,Scott,1054193809968500000.0
"RY on Twitter: &quot;And @RonDeSantisFL will make Florida another region of @realDonaldTrump vision of USA, i.e. Nazi Germany 2.0.  And talk about who’s corrupt-between you, @IvankaTrump @DonaldJTrumpJr @EricTrump @seanhannity @ScottforFlorida @FLGovScott all have stolen billions from us &amp; investors… https://t.co/1Xb6nznSm7&quot;",2018-10-21 22:11:50,RY,.0,Scott,1054193579852230000.0
Joseph P Finnegan Sr. on Twitter: &quot;birds of a feather.......so how was it to stand next to a POS stacked that high?????… https://t.co/l7qg1WWi6P&quot;,2018-10-21 22:10:56,Joseph P Finnegan Sr.,.0,Scott,1054193356685930000.0
Rochelle Swanson on Twitter: &quot;Wow!&#10;&#10;Thank you so much for doing everything that you do. ??&#10;&#10;#TogetherWeWIN&#10;#VoteRedMidterms2018… https://t.co/XJUWBlH9bq&quot;,2018-10-21 22:10:15,Rochelle Swanson,2.0,Scott,1054193183721030000.0
"Upholding Truth on Twitter: &quot;It was obvious @AndrewGillum wiped the floor up with @RonDeSantisFL.  Of course you&#39;re going to praise your guy, you endorsed him and don&#39;t want to be shamed by saying anything negative! And for Rick @FLGovScott now trying to be @ScottforFlorida #RickScottRuinedFL #ScottNotFit… https://t.co/3VpXbPFurd&quot;",2018-10-21 22:10:13,The Real Deal,.0,Scott,1054193176729320000.0
"Nan50 on Twitter: &quot;I am brow beating every family , friend and neighbor... @ScottforFlorida , @RonDeSantisFL  for Florida.....WWG1WGA.… https://t.co/2hCHyN40XI&quot;",2018-10-21 22:05:04,Nan50,1.0,Scott,1054191877765910000.0
????????VB ????????Nationalist⭐️⭐️⭐️ on Twitter: &quot;❤️A man who does everything he can for his country ????. God Bless and I pray he keeps you safe.… https://t.co/f0EsRI6dE1&quot;,2018-10-21 22:01:58,VB⭐️⭐️⭐️,1.0,Scott,1054191099344970000.0
D. Valls???????????? on Twitter: &quot;We don’t build walls! We build bridges in the state of Florida!… &quot;,2018-10-21 22:01:28,D. Valls????????????,.0,Scott,1054190971003590000.0
D. Valls???????????? on Twitter: &quot;You have ripped off the taxpayers of the state of Florida for the last time!… &quot;,2018-10-21 22:00:49,D. Valls????????????,.0,Scott,1054190808755260000.0
"D. Valls???????????? on Twitter: &quot;How incredibly sad, but in your world the only way Trump will work with a state is If the governor is a Republican! In so many words, that is what you said! No worries!! My vote this week is @AndrewGillum and @SenBillNelson WE REFUSE TO VOTE FOR THE LIKES OF YOU TWO!… https://t.co/DP3PuipPZF&quot;",2018-10-21 21:59:48,D. Valls????????????,1.0,Scott,1054190552986590000.0
"♿️????????Alabama4Trump  MAGAveteran  ⭐️⭐️⭐️ on Twitter: &quot;I&#39;m so proud of you @ScottPresier.  If I was young again, I would love to Join you. We need more people like you who love our country like you do.… https://t.co/QUnmapeRlV&quot;",2018-10-21 21:57:39,♿️????????Alabama4Trump  ⭐️⭐️⭐️,.0,Scott,1054190011430720000.0
"Dennis Peek - Militant Normal on Twitter: &quot;Gillum vows to raise taxes, suppress ICE and law enforcement, enact stringent gun controls banning certain guns, and other left nonsense. He is an acolyte of Soros and has been associated with him for 10-15 years and received $200,000 our more from him.… https://t.co/e7duxhNTs6&quot;",2018-10-21 21:57:07,Dennis Peek - Militant Normal,.0,Scott,1054189878865490000.0
Nat Atkins on Twitter: &quot;We&#39;re lucking good in the 27th even though Hillary won that one (vacated by Ros-Lehtinen) by 20 points.  The Dems thought they could win this Cuban-American district with a 77-year old washed-up academic originally from Cleveland.… https://t.co/WmO8ACiY4j&quot;,2018-10-21 21:55:22,Nat Atkins,.0,Scott,1054189438878790000.0
Carol Forden on Twitter: &quot;@FLGovScott had lunch with the leader of the Miami Proud Boys just before this happened. @ScottforFlorida staff joined the Proud Boys in trying to intimidate women Democratic candidates… https://t.co/8LakiG0S7A&quot;,2018-10-21 21:53:34,Carol Forden,3.0,Scott,1054188983805210000.0
Not My Cheato on Twitter: &quot;Oh look another patriot kag maga bot. Thank god you are a god living patriot looking to save the USA and tRump is your savior. Otherwise how would we survive?… https://t.co/M8FHSoh9ML&quot;,2018-10-21 21:49:36,Not My Cheato,.0,Scott,1054187985049140000.0
ValVal007 on Twitter: &quot;The biggest &quot;threat to communities of color&quot; is a Dem leader. They will make sure you stay oppressed and not get ahead. They need you 2 feel oppressed bc they need ur vote. You vote 4 broken promises every time!! They only care around election time! Wake up!… https://t.co/E35YyIPAFL&quot;,2018-10-21 21:49:33,ValVal007,.0,Scott,1054187974232030000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 16:06:56,Becky Lannon,74.0,Scott,1054826526707990000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 16:06:51,Betsy,74.0,Scott,1054826504746600000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 16:06:43,Emily Kay,311.0,Scott,1054826472861590000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 16:06:36,Peret Pass,74.0,Scott,1054826442494750000.0
@PollackHunter: I hope while @NelsonForSenate is campaigning on college campuses he mentions that college tuition has been lowered and t…,2018-10-23 16:06:26,tc,120.0,Scott,1054826401638080000.0
"@Feisty_FL: I just early voted with my #MAGA hat on in #Florida 
 Voted for @RonDeSantisFL and @ScottforFlorida #RonDeSantis and #RickSc…",2018-10-23 16:06:12,Donna,202.0,Scott,1054826341089060000.0
@ScottforFlorida Polls close @ 7pm in Pinellas County,2018-10-23 16:06:04,#VoteRepublican,.0,Scott,1054826311162750000.0
"@ConservativePTZ: Sonny has an important message for you. 

1. Vote Republican on November 6th.
2. Vote for @RonDeSantisFL 
3. Vote for…",2018-10-23 16:05:55,Christine Gregg,533.0,Scott,1054826269391520000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 16:05:36,??BlackWidow,311.0,Scott,1054826190974800000.0
"@Feisty_FL @RonDeSantisFL @ScottforFlorida Love it, Love it and more Love it...",2018-10-23 16:05:28,Teri Ellison,.0,Scott,1054826158947300000.0
@rotag2246: @fordmb1 @labounty58 @ScottforFlorida Just finished voting in Florida in The Villages. Lines are long but LOTS of enthusiasm…,2018-10-23 16:05:12,Deplorable Kim  - ???? ???? ????????????????????,7.0,Scott,1054826090735290000.0
@CampagnaTerry: @ScottforFlorida @DanWantsFreedom All ready voted for Scott.  So are my friends & family.  Scott cares about Floridians…,2018-10-23 16:05:08,Dan Dreg Edmonds,1.0,Scott,1054826074616540000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 16:04:49,Idahoturtle,311.0,Scott,1054825996493310000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 16:04:27,Michele Maloof,311.0,Scott,1054825904021650000.0
@PollackHunter: I hope while @NelsonForSenate is campaigning on college campuses he mentions that college tuition has been lowered and t…,2018-10-23 16:04:23,Deplorable Marsides,120.0,Scott,1054825886329920000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 16:04:19,Gail Kent,74.0,Scott,1054825868084870000.0
@ScottforFlorida: Thanks Sonny! You can look up your early voting location and times here: ,2018-10-23 16:04:07,5lupus,67.0,Scott,1054825817824470000.0
"@Feisty_FL: I just early voted with my #MAGA hat on in #Florida 
 Voted for @RonDeSantisFL and @ScottforFlorida #RonDeSantis and #RickSc…",2018-10-23 16:03:45,Teri Ellison,202.0,Scott,1054825724417400000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 16:03:05,Rosemary,311.0,Scott,1054825558108860000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 16:02:56,Nikki stark,74.0,Scott,1054825520553170000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 16:02:10,Beach Bum,74.0,Scott,1054825329603290000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 16:01:22,buffington,311.0,Scott,1054825125911110000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 16:01:21,Conservative Constitutionalist,74.0,Scott,1054825122761190000.0
"@RonDeSantisFL: ???????? Thank you, Mr. President. What an honor to have your support! Florida is a great state.  We will do great things to…",2018-10-23 16:00:34,????Red Wave Nikki,2974.0,Scott,1054824924974650000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 16:00:24,MrsDavidDennison,311.0,Scott,1054824883128030000.0
@PollackHunter: I hope while @NelsonForSenate is campaigning on college campuses he mentions that college tuition has been lowered and t…,2018-10-23 16:00:03,Timothy Bigler CPP,120.0,Scott,1054824796297550000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 15:59:56,MiamiGOP,74.0,Scott,1054824764165050000.0
@ScottforFlorida: Rick and I believe that preexisting conditions shouldn’t limit the ability for Floridians to have access to healthcare…,2018-10-23 15:59:45,❌ ?? Eric Oyen,208.0,Scott,1054824720862860000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 15:59:32,Stephen D. S...,311.0,Scott,1054824666601150000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 15:59:23,Debdeb,311.0,Scott,1054824629175350000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 15:59:18,T,74.0,Scott,1054824605523830000.0
@ScottforFlorida: Thanks Sonny! You can look up your early voting location and times here: ,2018-10-23 15:58:55,Save yourself,67.0,Scott,1054824509474110000.0
@ScottforFlorida: Rick and I believe that preexisting conditions shouldn’t limit the ability for Floridians to have access to healthcare…,2018-10-23 15:58:04,Wendy Morris,208.0,Scott,1054824296185500000.0
@ScottforFlorida: Rick and I believe that preexisting conditions shouldn’t limit the ability for Floridians to have access to healthcare…,2018-10-23 15:58:02,kathy lott,208.0,Scott,1054824287977250000.0
@ScottforFlorida: Rick and I believe that preexisting conditions shouldn’t limit the ability for Floridians to have access to healthcare…,2018-10-23 15:57:51,Sierra Danté????✝️????,208.0,Scott,1054824242624240000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 15:57:22,Liana Marie????,74.0,Scott,1054824119575860000.0
@ScottforFlorida: Thanks Sonny! You can look up your early voting location and times here: ,2018-10-23 15:57:07,LuckyLynn⭐#Winning,67.0,Scott,1054824056254590000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 15:56:52,Karen,74.0,Scott,1054823995340540000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 15:56:50,S☉L TI☉,74.0,Scott,1054823983655340000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 15:56:45,Christine M. Krebs,74.0,Scott,1054823966177660000.0
@ScottforFlorida: Rick and I believe that preexisting conditions shouldn’t limit the ability for Floridians to have access to healthcare…,2018-10-23 15:56:17,Manuel Skippy,208.0,Scott,1054823848774960000.0
"@votevets: Another verdict on our ad on @ScottForFlorida ripping off TRICARE, the military’s health insurance program, and another verdi…",2018-10-23 15:56:07,Jack H,311.0,Scott,1054823806340980000.0
"@VIIIMaximus: @ScottforFlorida Will vote warly, but wouldn't vote for Cheating Rick Scott ever. Scott's a known tax cheat and a thief of…",2018-10-23 15:55:49,Joni Skibo/LaCriox,1.0,Scott,1054823730134840000.0
@davidcoachyaho4: @ScottforFlorida Did you explain to them why you stole from Medicare and from veterans ?  Or did you fail to address t…,2018-10-23 15:55:31,Joni Skibo/LaCriox,1.0,Scott,1054823654763260000.0
@ScottforFlorida: Thanks Sonny! You can look up your early voting location and times here: ,2018-10-23 15:55:24,Stick n stones,67.0,Scott,1054823626296430000.0
@ScottforFlorida: Thanks Sonny! You can look up your early voting location and times here: ,2018-10-23 15:55:21,Deplorable NATIONALIST Coal Peep⭐⭐⭐,67.0,Scott,1054823611247330000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 15:55:21,Goldy NRA Aka Rino Slayer and General of Gold Army,74.0,Scott,1054823610781710000.0
@ScottforFlorida: Rick is still in the Panhandle helping families devastated by the storm to get back on their feet and he needs our hel…,2018-10-23 15:54:58,Fla Mom,74.0,Scott,1054823516791620000.0
